,CATEGORÍA,RELIGIOSA,,,,CATEGORÍA,MAGICA,,,,CATEGORÍA,SECULAR
,CONGRUENTE,,INCONGRUENTE,,CONGRUENTE,,INCONGRUENTE,,CONGRUENTE,,INCONGRUENTE,
n,Religiosa_RCP,Religiosa_RCT,Religiosa_RIP,Secular_RIT,Magica_MCP,Magica_MCT,Magica_MIP,Secular_MIT,Secular_SCP,Secular_SCT,Secular_SIP,Religiosa_SIT
1,católico,salmo,eva,ácido,magia,ocultismo,extracorporal,antídoto,circuito,sedante,aurora,eva
2,religión,sagrado,parroquia,ángulo,hada,clarividente,bruja,realista,infección,brotar,viruela,iglesia
3,dios,católico,cuaresma,átomo,fantasma,tarotista,extrasensorial,átomo,crepúsculo,investigar,planetario,edén
4,jesucristo,cuaresma,evangelio,absorber,bruja,chupacabras,teletransportar,tumor,geometría,atlas,matemático,parroquia
5,obispo,mandamientos,obispo,anatomía,unicornio,chamán,vidente,elástico,ceguera,disolución,antídoto,dios
6,monja,comunión,adán,anfibios,elfo,karma,duende,cálculo,ácido,galaxia,galaxia,cardenal
7,biblia,eclesiástico,catequesis,anticuerpo,mago,abracadabra,aura,botánico,topografía,invención,circuito,catecismo
8,vaticano,catequesis,cardenal,antídoto,duende,sirena,zombi,extracción,dilatación,cirugía,tumor,bendecir
9,misa,vaticano,plegaria,aritmética,conjuro,aura,conjuro,disolución,médica,ángulo,atlas,plegaria
10,amén,noé,aleluya,astros,médium,visiones,pegaso,fisiología,síntoma,ecología,electrodos,apóstol
11,bautizar,teología,amén,atlas,sirena,ovni,ocultismo,atlas,galaxia,geometría,ecología,catedral
12,iglesia,jesús,cristiano,aurora,brujería,maldición,abducido,digestión,botánico,matemático,disolución,judas
13,jesús,bautizar,sagrado,bacteria,clarividente,atrapasueños,adivina,anatomía,investigar,antídoto,formula,papa
14,evangelizar,avemaría,bautizar,biología,espíritus,conjuro,magia,síntoma,electrodos,anticuerpo,óptico,comunión
15,jesuita,convento,monja,botánico,tarot,brujería,ogro,modernismo,ángulo,enjambre,fiebre,eucaristía
16,pecar,aleluya,apóstol,brisa,vudú,telépata,espíritus,ecología,tumor,elástico,biología,ángeles
17,catecismo,papa,creyente,brotar,vampiro,telequinesis,psíquica,infarto,absorber,firmamento,investigar,jesús
