,CATEGORÍA,RELIGIOSA,,,,CATEGORÍA,MAGICA,,,,CATEGORÍA,SECULAR
,CONGRUENTE,,INCONGRUENTE,,CONGRUENTE,,INCONGRUENTE,,CONGRUENTE,,INCONGRUENTE,
n,Religiosa_RCP,Religiosa_RCT,Religiosa_RIP,Secular_RIT,Magica_MCP,Magica_MCT,Magica_MIP,Secular_MIT,Secular_SCP,Secular_SCT,Secular_SIP,Religiosa_SIT
1,católico,salmo,eva,ácido,magia,ocultismo,extracorporal,antídoto,circuito,perímetro,aurora,eva
2,religión,sagrado,parroquia,ángulo,hada,sirena,bruja,realista,infección,contagio,viruela,iglesia
3,dios,católico,cuaresma,átomo,fantasma,visiones,extrasensorial,átomo,crepúsculo,atardecer,planetario,edén
4,jesucristo,cuaresma,evangelio,absorber,bruja,tarotista,teletransportar,tumor,geometría,triangulo,matemático,parroquia
5,obispo,mandamientos,obispo,anatomía,unicornio,hada,vidente,elástico,ceguera,invidencia,antídoto,dios
6,monja,comunión,adán,anfibios,elfo,ogro,duende,cálculo,ácido,agrio,galaxia,cardenal
7,biblia,eclesiástico,catequesis,anticuerpo,mago,abracadabra,aura,botánico,topografía,relieve,circuito,catecismo
8,vaticano,catequesis,cardenal,antídoto,duende,elfo,zombi,extracción,dilatación,expansión,tumor,bendecir
9,misa,vaticano,plegaria,aritmética,conjuro,karma,conjuro,disolución,médica,cirujano,atlas,plegaria
10,amén,noé,aleluya,astros,médium,clarividente,pegaso,fisiología,síntoma,indicio,electrodos,apóstol
11,bautizar,teología,amén,atlas,sirena,ovni,ocultismo,atlas,galaxia,constelación,ecología,catedral
12,iglesia,jesús,cristiano,aurora,brujería,maldición,abducido,digestión,botánico,jardines,disolución,judas
13,jesús,bautizar,sagrado,bacteria,clarividente,atrapasueños,adivina,anatomía,investigar,explorar,formula,papa
14,evangelizar,avemaría,bautizar,biología,espíritus,conjuro,magia,síntoma,electrodos,polaridad,óptico,comunión
15,jesuita,convento,monja,botánico,tarot,brujería,ogro,modernismo,ángulo,geometría,fiebre,eucaristía
16,pecar,aleluya,apóstol,brisa,vudú,rito,espíritus,ecología,tumor,quiste,biología,ángeles
17,catecismo,papa,creyente,brotar,vampiro,chupacabras,psíquica,infarto,absorber,empapar,investigar,jesús
